"filename", "language", "Java", "JSON", "comment", "blank", "total"
"e:\编译\Compiler\src\Compiler.java", "Java", 56, 0, 1, 6, 63
"e:\编译\Compiler\src\backend\MipsBuilder.java", "Java", 8, 0, 0, 2, 10
"e:\编译\Compiler\src\backend\MipsModule.java", "Java", 115, 0, 8, 22, 145
"e:\编译\Compiler\src\backend\component\MipsBlock.java", "Java", 120, 0, 11, 14, 145
"e:\编译\Compiler\src\backend\component\MipsFunction.java", "Java", 174, 0, 23, 27, 224
"e:\编译\Compiler\src\backend\component\MipsGlobalVariable.java", "Java", 56, 0, 0, 7, 63
"e:\编译\Compiler\src\backend\instruction\MipsBeqz.java", "Java", 37, 0, 1, 7, 45
"e:\编译\Compiler\src\backend\instruction\MipsBinary.java", "Java", 97, 0, 0, 8, 105
"e:\编译\Compiler\src\backend\instruction\MipsEmpty.java", "Java", 7, 0, 0, 2, 9
"e:\编译\Compiler\src\backend\instruction\MipsInstruction.java", "Java", 54, 0, 0, 9, 63
"e:\编译\Compiler\src\backend\instruction\MipsJ.java", "Java", 15, 0, 0, 5, 20
"e:\编译\Compiler\src\backend\instruction\MipsJal.java", "Java", 15, 0, 0, 8, 23
"e:\编译\Compiler\src\backend\instruction\MipsJr.java", "Java", 28, 0, 0, 6, 34
"e:\编译\Compiler\src\backend\instruction\MipsLa.java", "Java", 36, 0, 0, 7, 43
"e:\编译\Compiler\src\backend\instruction\MipsLi.java", "Java", 37, 0, 0, 6, 43
"e:\编译\Compiler\src\backend\instruction\MipsLw.java", "Java", 48, 0, 0, 11, 59
"e:\编译\Compiler\src\backend\instruction\MipsMove.java", "Java", 51, 0, 0, 7, 58
"e:\编译\Compiler\src\backend\instruction\MipsRet.java", "Java", 34, 0, 0, 7, 41
"e:\编译\Compiler\src\backend\instruction\MipsSeq.java", "Java", 49, 0, 0, 8, 57
"e:\编译\Compiler\src\backend\instruction\MipsSle.java", "Java", 48, 0, 0, 7, 55
"e:\编译\Compiler\src\backend\instruction\MipsSlt.java", "Java", 48, 0, 0, 6, 54
"e:\编译\Compiler\src\backend\instruction\MipsSne.java", "Java", 48, 0, 0, 5, 53
"e:\编译\Compiler\src\backend\instruction\MipsSw.java", "Java", 51, 0, 0, 8, 59
"e:\编译\Compiler\src\backend\instruction\MipsSyscall.java", "Java", 21, 0, 0, 4, 25
"e:\编译\Compiler\src\backend\operand\MipsImm.java", "Java", 17, 0, 0, 5, 22
"e:\编译\Compiler\src\backend\operand\MipsLabel.java", "Java", 18, 0, 0, 5, 23
"e:\编译\Compiler\src\backend\operand\MipsOperand.java", "Java", 12, 0, 0, 4, 16
"e:\编译\Compiler\src\backend\operand\MipsPhyReg.java", "Java", 112, 0, 5, 15, 132
"e:\编译\Compiler\src\backend\operand\MipsReg.java", "Java", 3, 0, 0, 3, 6
"e:\编译\Compiler\src\backend\operand\MipsVirReg.java", "Java", 31, 0, 0, 7, 38
"e:\编译\Compiler\src\backend\optimize\BlockActive.java", "Java", 63, 0, 3, 9, 75
"e:\编译\Compiler\src\backend\optimize\PeepHole.java", "Java", 223, 0, 38, 39, 300
"e:\编译\Compiler\src\backend\optimize\RegAllocator.java", "Java", 491, 0, 68, 50, 609
"e:\编译\Compiler\src\config.json", "JSON", 0, 4, 0, 0, 4
"e:\编译\Compiler\src\error\ErrorManager.java", "Java", 20, 0, 0, 3, 23
"e:\编译\Compiler\src\error\ErrorType.java", "Java", 24, 0, 0, 4, 28
"e:\编译\Compiler\src\error\SysyError.java", "Java", 19, 0, 0, 4, 23
"e:\编译\Compiler\src\frontend\ast\CompUnit.java", "Java", 58, 0, 3, 7, 68
"e:\编译\Compiler\src\frontend\ast\Node.java", "Java", 24, 0, 25, 7, 56
