Date : 2026-01-24 17:46:19
Directory : e:\编译\Compiler\src
Total : 132 files,  8867 codes, 784 comments, 1206 blanks, all 10857 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        131 |      8,863 |        784 |      1,206 |     10,853 |
| JSON     |          1 |          4 |          0 |          0 |          4 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                            |        132 |      8,867 |        784 |      1,206 |     10,857 |
| . (Files)                                                    |          2 |         60 |          1 |          6 |         67 |
| backend                                                      |         32 |      2,167 |        157 |        330 |      2,654 |
| backend (Files)                                              |          2 |        123 |          8 |         24 |        155 |
| backend\component                                            |          3 |        350 |         34 |         48 |        432 |
| backend\instruction                                          |         18 |        724 |          1 |        121 |        846 |
| backend\operand                                              |          6 |        193 |          5 |         39 |        237 |
| backend\optimize                                             |          3 |        777 |        109 |         98 |        984 |
| error                                                        |          3 |         63 |          0 |         11 |         74 |
| frontend                                                     |         40 |      3,290 |        341 |        355 |      3,986 |
| frontend\ast                                                 |         35 |      2,331 |        233 |        288 |      2,852 |
| frontend\ast (Files)                                         |          2 |         82 |         28 |         14 |        124 |
| frontend\ast\block                                           |          2 |        112 |          7 |         14 |        133 |
| frontend\ast\decl                                            |          8 |        536 |         57 |         53 |        646 |
| frontend\ast\exp                                             |         15 |        841 |         65 |        107 |      1,013 |
| frontend\ast\func                                            |          6 |        327 |         26 |         51 |        404 |
| frontend\ast\stmt                                            |          2 |        433 |         50 |         49 |        532 |
| frontend\lexer                                               |          4 |        308 |          1 |         22 |        331 |
| frontend\parser                                              |          1 |        651 |        107 |         45 |        803 |
| midend                                                       |         49 |      2,553 |        123 |        394 |      3,070 |
| midend\ir                                                    |         43 |      2,338 |        120 |        357 |      2,815 |
| midend\ir (Files)                                            |          2 |        319 |         12 |         45 |        376 |
| midend\ir\constant                                           |          5 |        122 |          5 |         28 |        155 |
| midend\ir\instruction                                        |         20 |      1,235 |         60 |        178 |      1,473 |
| midend\ir\type                                               |          9 |        126 |          6 |         31 |        163 |
| midend\ir\value                                              |          7 |        536 |         37 |         75 |        648 |
| midend\symbol                                                |          6 |        215 |          3 |         37 |        255 |
| optimize                                                     |          3 |        493 |        150 |         78 |        721 |
| utils                                                        |          3 |        241 |         12 |         32 |        285 |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                     | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\编译\Compiler\src\Compiler.java                             | Java     |         56 |          1 |          6 |         63 |
| e:\编译\Compiler\src\backend\MipsBuilder.java                  | Java     |          8 |          0 |          2 |         10 |
| e:\编译\Compiler\src\backend\MipsModule.java                   | Java     |        115 |          8 |         22 |        145 |
| e:\编译\Compiler\src\backend\component\MipsBlock.java          | Java     |        120 |         11 |         14 |        145 |
| e:\编译\Compiler\src\backend\component\MipsFunction.java       | Java     |        174 |         23 |         27 |        224 |
| e:\编译\Compiler\src\backend\component\MipsGlobalVariable.java | Java     |         56 |          0 |          7 |         63 |
| e:\编译\Compiler\src\backend\instruction\MipsBeqz.java         | Java     |         37 |          1 |          7 |         45 |
| e:\编译\Compiler\src\backend\instruction\MipsBinary.java       | Java     |         97 |          0 |          8 |        105 |
| e:\编译\Compiler\src\backend\instruction\MipsEmpty.java        | Java     |          7 |          0 |          2 |          9 |
| e:\编译\Compiler\src\backend\instruction\MipsInstruction.java  | Java     |         54 |          0 |          9 |         63 |
| e:\编译\Compiler\src\backend\instruction\MipsJ.java            | Java     |         15 |          0 |          5 |         20 |
| e:\编译\Compiler\src\backend\instruction\MipsJal.java          | Java     |         15 |          0 |          8 |         23 |
| e:\编译\Compiler\src\backend\instruction\MipsJr.java           | Java     |         28 |          0 |          6 |         34 |
| e:\编译\Compiler\src\backend\instruction\MipsLa.java           | Java     |         36 |          0 |          7 |         43 |
| e:\编译\Compiler\src\backend\instruction\MipsLi.java           | Java     |         37 |          0 |          6 |         43 |
| e:\编译\Compiler\src\backend\instruction\MipsLw.java           | Java     |         48 |          0 |         11 |         59 |
| e:\编译\Compiler\src\backend\instruction\MipsMove.java         | Java     |         51 |          0 |          7 |         58 |
| e:\编译\Compiler\src\backend\instruction\MipsRet.java          | Java     |         34 |          0 |          7 |         41 |
| e:\编译\Compiler\src\backend\instruction\MipsSeq.java          | Java     |         49 |          0 |          8 |         57 |
| e:\编译\Compiler\src\backend\instruction\MipsSle.java          | Java     |         48 |          0 |          7 |         55 |
| e:\编译\Compiler\src\backend\instruction\MipsSlt.java          | Java     |         48 |          0 |          6 |         54 |
| e:\编译\Compiler\src\backend\instruction\MipsSne.java          | Java     |         48 |          0 |          5 |         53 |
| e:\编译\Compiler\src\backend\instruction\MipsSw.java           | Java     |         51 |          0 |          8 |         59 |
| e:\编译\Compiler\src\backend\instruction\MipsSyscall.java      | Java     |         21 |          0 |          4 |         25 |
| e:\编译\Compiler\src\backend\operand\MipsImm.java              | Java     |         17 |          0 |          5 |         22 |
| e:\编译\Compiler\src\backend\operand\MipsLabel.java            | Java     |         18 |          0 |          5 |         23 |
| e:\编译\Compiler\src\backend\operand\MipsOperand.java          | Java     |         12 |          0 |          4 |         16 |
| e:\编译\Compiler\src\backend\operand\MipsPhyReg.java           | Java     |        112 |          5 |         15 |        132 |
| e:\编译\Compiler\src\backend\operand\MipsReg.java              | Java     |          3 |          0 |          3 |          6 |
| e:\编译\Compiler\src\backend\operand\MipsVirReg.java           | Java     |         31 |          0 |          7 |         38 |
| e:\编译\Compiler\src\backend\optimize\BlockActive.java         | Java     |         63 |          3 |          9 |         75 |
| e:\编译\Compiler\src\backend\optimize\PeepHole.java            | Java     |        223 |         38 |         39 |        300 |
| e:\编译\Compiler\src\backend\optimize\RegAllocator.java        | Java     |        491 |         68 |         50 |        609 |
| e:\编译\Compiler\src\config.json                               | JSON     |          4 |          0 |          0 |          4 |
| e:\编译\Compiler\src\error\ErrorManager.java                   | Java     |         20 |          0 |          3 |         23 |
| e:\编译\Compiler\src\error\ErrorType.java                      | Java     |         24 |          0 |          4 |         28 |
| e:\编译\Compiler\src\error\SysyError.java                      | Java     |         19 |          0 |          4 |         23 |
| e:\编译\Compiler\src\frontend\ast\CompUnit.java                | Java     |         58 |          3 |          7 |         68 |
| e:\编译\Compiler\src\frontend\ast\Node.java                    | Java     |         24 |         25 |          7 |         56 |
| e:\编译\Compiler\src\frontend\ast\block\Block.java             | Java     |         71 |          4 |         10 |         85 |
| e:\编译\Compiler\src\frontend\ast\block\BlockItem.java         | Java     |         41 |          3 |          4 |         48 |
| e:\编译\Compiler\src\frontend\ast\decl\BType.java              | Java     |          9 |          3 |          3 |         15 |
| e:\编译\Compiler\src\frontend\ast\decl\ConstDecl.java          | Java     |         37 |          3 |          5 |         45 |
| e:\编译\Compiler\src\frontend\ast\decl\ConstDef.java           | Java     |         89 |         11 |          6 |        106 |
| e:\编译\Compiler\src\frontend\ast\decl\ConstInitVal.java       | Java     |         80 |          5 |          9 |         94 |
